ID,type,region,province,district,postalCode,localityType,bedroomCount,netHabitableSurface,condition,epcScore,bathroomCount,showerRoomCount,toiletCount,hasLift,fireplaceExists,hasSwimmingPool,hasAirConditioning,hasGarden,hasTerrace,gardenSurface,terraceSurface,land,price
10616910,APARTMENT,Flanders,Limburg,Hasselt,3550,4,2.0,125.0,AS_NEW,B,1.0,0.0,1.0,1,0,0,0,0,1,0.0,24.0,0.0,399000.0
10616880,APARTMENT,Flanders,Antwerp,Turnhout,2400,3,2.0,85.0,GOOD,A,0.0,0.0,1.0,0,0,0,0,0,1,0.0,0.0,0.0,218000.0
10616933,APARTMENT,Flanders,West Flanders,Roeselare,8800,3,1.0,41.0,TO_BE_DONE_UP,F,0.0,0.0,1.0,1,0,0,0,0,0,0.0,0.0,0.0,95000.0
10616913,APARTMENT,Flanders,Antwerp,Antwerp,2050,2,3.0,110.0,AS_NEW,B,0.0,0.0,0.0,1,0,0,0,1,1,0.0,1.0,0.0,359000.0
10616926,APARTMENT,Wallonie,Liège,Liège,4101,3,2.0,70.0,UNKNOWN,E,0.0,1.0,1.0,0,1,0,0,1,0,90.0,0.0,0.0,165000.0
10616911,APARTMENT,Wallonie,Walloon Brabant,Nivelles,1325,4,3.0,155.0,AS_NEW,B,1.0,2.0,2.0,1,0,0,0,0,1,0.0,0.0,0.0,423000.0
10616934,APARTMENT,Wallonie,Liège,Liège,4020,2,1.0,54.0,AS_NEW,B,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,169000.0
10616833,APARTMENT,Wallonie,Walloon Brabant,Nivelles,1420,4,1.0,66.0,AS_NEW,A,1.0,0.0,1.0,1,0,0,0,0,1,0.0,9.0,0.0,275000.0
10616966,APARTMENT,Flanders,Antwerp,Antwerp,2170,4,2.0,74.0,GOOD,C,1.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,185000.0
10485868,APARTMENT,Wallonie,Hainaut,Mouscron,7700,3,2.0,98.0,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0,0,0,0,0,1,0.0,11.0,0.0,205186.0
